@relation shedat-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 {1,2,3,}

@data
0.016158,0.65674,-0.55199,1
-0.20696,1.2279,-0.86966,1
0.50408,-0.21272,-0.18023,1
-1.1574,-0.98504,2.2963,1
0.082378,0.82315,-0.76664,1
0.29726,-0.25659,0.041162,1
0.38367,0.77649,-1.0341,1
-0.34784,2.068,-1.6948,1
0.30582,-0.060262,-0.013029,1
0.52679,1.5849,-1.9383,1
-0.1965,0.26491,0.037048,1
-2.4646,-0.37356,2.9495,1
0.65221,1.9675,-2.4944,1
-0.91697,-1.4959,2.5176,1
-0.9946,-0.0011667,1.1252,1
-0.88841,-0.0023289,1.064,1
0.079432,0.44195,-0.34354,1
0.022201,0.67538,-0.3545,1
-0.22789,-0.021851,0.316,1
0.48683,1.464,-1.6987,1
0.18946,0.084737,-0.12181,1
-0.37716,0.65282,-0.13904,1
-0.15485,0.76207,-0.52032,1
-0.64562,-0.72086,1.4478,1
-0.031175,0.34907,-0.21695,1
-0.083179,0.32475,-0.11197,1
0.049456,0.12516,0.046845,1
-1.4243,0.78307,0.7062,1
-0.41246,-0.56061,1.0436,1
0.65054,-1.0117,0.65936,1
-0.2528,0.40136,-0.039211,1
-0.7175,1.7916,-0.79641,1
-0.45098,2.9341,-2.2744,1
0.086642,-0.75895,0.92323,1
-0.61869,2.0001,-1.3244,1
-0.20554,1.461,-1.2144,1
0.25626,-0.49724,0.36123,1
0.20482,-1.6996,1.6726,1
-0.82653,-1.2022,2.0469,1
0.7828,0.027104,-0.60661,1
0.53944,0.81169,-1.1428,1
-0.045481,0.96152,-0.79554,1
-1.6658,-0.093481,1.8039,1
0.5001,0.25367,-0.58096,1
-0.29072,-1.1659,1.5499,1
-1.0172,1.6596,-0.50747,1
-0.28905,0.73884,-0.25099,1
0.1682,1.0288,-1.0796,1
-0.23651,-2.8167,3.2282,1
-0.11888,0.12446,0.093379,1
-0.42683,0.87225,-0.27647,1
0.52796,-0.52273,0.11421,1
0.22865,0.14967,-0.23023,1
-0.6133,-0.80263,1.5608,1
-0.054299,-1.0227,1.144,1
1.0617,0.69582,-1.5712,1
-0.17619,-1.4464,1.9012,1
-0.84245,0.26606,0.68055,1
0.68038,0.32429,-0.83727,1
-0.16268,1.4928,-1.2315,1
-0.98588,0.72988,0.35218,1
0.12176,0.68746,-0.6902,1
0.31521,-2.036,1.7332,1
0.6357,-0.71718,0.16628,1
0.66597,2.6524,-3.0125,1
0.40063,0.45655,-0.73283,1
-0.14,-1.2329,1.4791,1
-0.0047983,-0.31265,0.48831,1
0.35089,-0.011299,-0.17987,1
0.35089,-0.011299,-0.17987,1
0.82884,0.55192,-1.0256,1
0.21399,0.50071,-0.6533,1
0.21399,0.50071,-0.6533,1
-0.54302,1.5372,-0.73492,1
-0.72849,0.50486,0.18138,1
0.53084,2.0563,-2.3496,1
0.58851,1.1526,-1.5138,1
0.51926,0.4291,-0.64394,1
0.092038,1.0773,-1.0723,1
0.87664,1.035,-1.5945,1
0.48387,-0.006264,-0.27196,1
0.8104,1.3564,-2.0595,1
-1.3419,-1.2365,2.6986,1
-0.085551,0.70582,-0.37371,1
-1.7573,5.5991,-3.5245,1
-0.87788,2.7323,-1.7355,1
-1.109,2.4215,-1.1846,1
-1.6469,3.6251,-1.8983,1
-1.9906,0.39137,1.7206,1
-1.0386,-0.40314,1.4666,1
-1.0866,-0.57024,1.6744,1
0.46192,3.2017,-3.5253,1
0.44425,3.202,-3.3443,1
-3.3245,3.0415,0.57159,1
-1.7735,3.6114,-1.5059,1
-1.9906,0.39137,1.7206,1
-1.9906,0.39137,1.7206,1
-0.45948,3.7709,-3.1901,1
-3.0166,0.23558,2.9391,1
-0.65823,0.79053,-0.07049,1
-1.4615,0.84599,0.92929,1
0.010101,-2.1347,2.2303,1
-0.09063,0.13561,0.1132,1
-1.7745,5.6423,-3.5424,1
0.0013249,0.62405,-0.5031,1
-1.8184,4.4028,-2.3396,1
0.20211,0.12625,-0.23205,1
-1.781,2.3952,-0.50539,1
-1.4924,0.0016082,1.5202,1
-0.99117,1.1665,-0.12365,1
0.67105,2.0266,-2.58,1
-0.94928,1.8556,-0.6892,1
0.8104,1.3564,-2.0595,1
-2.2724,-0.44557,2.7048,1
-1.8549,2.0591,-0.062415,1
-0.39261,1.2987,-0.76137,1
-0.91036,-2.7689,3.8334,1
-1.1191,-0.40781,1.6847,1
-2.5279,2.027,0.60769,2
-1.3288,1.1177,0.37039,2
-3.6533,3.0347,0.66191,2
-1.2667,1.4389,-0.028291,2
-0.20696,1.2279,-0.86966,2
-0.20696,1.2279,-0.86966,2
-1.5112,3.2226,-1.502,2
-2.3873,1.9215,0.50328,2
-2.6658,4.0684,-1.2078,2
-1.0628,5.3746,-3.9837,2
-1.0777,2.1066,-1.0361,2
-0.56975,1.2194,-0.39859,2
-2.6105,4.3531,-1.746,2
-0.53759,2.7583,-2.0797,2
-0.61047,4.7437,-3.9472,2
-0.79844,3.8764,-2.8148,2
-2.0648,0.70099,1.4988,2
-1.987,3.3251,-1.0565,2
-1.1861,2.6452,-1.1681,2
-1.1861,2.6452,-1.1681,2
-0.22719,2.0281,-1.6741,2
-0.55956,1.158,-0.49922,2
-2.7858,4.3235,-1.512,2
-2.7308,4.3328,-1.5882,2
-2.7308,4.3328,-1.5882,2
-2.7858,4.3235,-1.512,2
-1.8178,3.025,-0.99471,2
-1.8179,1.5181,0.37659,2
-0.55123,2.2621,-1.6787,2
-2.0002,4.5234,-2.488,2
-3.3548,2.9482,0.41159,2
-1.4406,1.3667,0.14607,2
-0.11878,-0.80896,1.2107,2
-2.5679,1.9793,0.59168,2
-2.2674,4.4217,-1.974,2
-1.7753,1.835,0.10026,2
-1.095,3.4839,-2.3079,2
-2.5458,3.8788,-1.1345,2
0.42353,3.308,-3.5083,2
-0.97207,1.7743,-0.71837,2
-2.4138,2.9252,-0.21354,2
-1.2117,1.6,-0.40295,2
-2.5074,2.0975,0.42891,2
-0.96571,2.4984,-1.3035,2
-0.3845,2.7758,-2.2065,2
-0.3845,2.7758,-2.2065,2
-0.3845,2.7758,-2.2065,2
-2.377,2.7562,-0.30574,2
-1.4912,1.2156,0.40296,2
-2.5876,2.8664,0.072497,2
-1.6019,1.9789,-0.1615,2
-1.7368,3.2728,-1.5067,2
-0.19705,-0.034103,0.41277,2
0.18946,0.084737,-0.12181,2
-2.8001,4.5293,-1.4424,2
-1.5638,2.502,-0.69579,2
-0.93433,4.0055,-2.941,2
-0.60841,1.0901,-0.26824,2
-2.402,3.2619,-0.58873,2
-2.402,3.2619,-0.58873,2
-2.402,3.2619,-0.58873,2
-2.402,3.2619,-0.58873,2
-2.5644,5.1201,-2.2439,2
-1.5017,3.4123,-1.8593,2
-0.7763,1.6099,-0.59638,2
-0.9356,2.1681,-1.2443,2
-0.2984,2.898,-2.4835,2
-2.5406,2.3864,0.32072,2
-2.5406,2.3864,0.32072,2
-1.1774,2.1019,-0.80818,2
-2.8044,5.4286,-2.4102,2
-0.92491,2.28,-1.3114,2
-0.87825,2.3035,-1.3859,2
-0.87825,2.3035,-1.3859,2
-2.2157,3.984,-1.6051,2
-2.2157,3.984,-1.6051,2
-1.4541,3.1229,-1.524,2
-1.6613,3.7916,-1.7916,2
-0.68069,2.1132,-1.2746,2
-3.0382,2.0161,1.3516,2
-2.3725,2.6,-0.20301,2
